account_id,customer_id,account_no,account_kind,balance,opened_date,status,created_at,updated_at
32,89,9159-617117,02,1948128.83,2020-08-06,A,2020-08-06 14:54:43,
33,26,1613-905990,02,4301801.93,2023-01-08,A,2023-01-08 11:28:07,
34,62,1314-771236,01,3960804.97,2022-04-27,A,2022-04-27 04:19:29,
35,46,5204-749334,02,1358209.08,2023-09-27,A,2023-09-27 07:05:47,
36,31,3607-955290,02,349365.04,2023-09-17,A,2023-09-17 13:33:36,
37,49,5046-329214,01,971340.8,2023-07-12,A,2023-07-12 23:49:48,
38,10,5479-368779,01,871794.05,2020-12-02,A,2020-12-02 07:16:42,
39,10,6066-520092,02,2611643.35,2021-02-28,F,2021-02-28 10:59:20,
40,2,9441-414676,01,673353.57,2023-04-05,F,2023-04-05 03:46:32,
41,12,1490-782119,01,3858423.12,2024-02-03,A,2024-02-03 01:33:00,
42,1,3117-505016,01,787844.04,2023-03-03,A,2023-03-03 19:02:15,
43,14,2025-470716,01,3086183.53,2020-11-09,A,2020-11-09 23:21:52,
44,7,8130-985939,01,3544884.31,2021-11-01,F,2021-11-01 23:42:32,
45,43,4747-629182,02,353702.26,2023-11-13,C,2023-11-13 21:37:01,
46,6,1011-745179,01,1944337.85,2020-12-18,A,2020-12-18 05:59:47,
47,15,4643-225810,01,1624930.84,2024-01-22,A,2024-01-22 12:08:00,
48,74,7848-675060,01,3927091.17,2020-05-22,A,2020-05-22 22:43:28,
49,67,7155-491536,02,1186230.08,2020-02-24,A,2020-02-24 18:58:49,
50,1,7751-254355,01,2782037.61,2023-08-02,A,2023-08-02 20:42:01,
51,7,3770-291021,02,4448754.05,2023-09-21,A,2023-09-21 07:19:59,
52,63,3903-995580,02,2234859.99,2021-12-03,A,2021-12-03 00:29:25,
53,24,7175-642723,02,4603941.69,2020-05-21,A,2020-05-21 21:39:28,
54,100,7753-209475,01,2783587.06,2022-11-16,C,2022-11-16 21:53:22,
55,33,8174-277686,01,3308209.47,2020-04-25,A,2020-04-25 07:15:22,
56,65,4966-336515,02,2918720.01,2023-02-14,C,2023-02-14 15:34:14,
57,43,2632-855193,01,1846705.6,2020-09-09,A,2020-09-09 23:00:25,
58,12,2662-853995,02,72234.43,2023-09-18,A,2023-09-18 16:49:20,
59,52,3033-364819,01,1604694.08,2022-05-19,A,2022-05-19 01:04:25,
60,64,1989-284690,01,4030919.01,2021-03-16,A,2021-03-16 17:55:53,
61,5,2209-875505,02,355521.26,2020-08-20,A,2020-08-20 04:36:38,
62,32,9528-374934,02,4378384.01,2022-01-24,C,2022-01-24 06:33:57,
63,36,6174-569646,02,1789949.14,2021-03-05,A,2021-03-05 05:40:43,
64,7,1619-560627,02,1768833.48,2023-01-15,A,2023-01-15 12:58:49,
65,72,4248-389380,01,2915057.16,2020-06-04,A,2020-06-04 13:12:17,
66,73,3790-140332,01,2522162.81,2022-05-03,A,2022-05-03 06:06:05,
67,60,2317-725018,01,3978612.15,2020-08-28,C,2020-08-28 01:42:49,
68,66,6706-630801,01,2561975.77,2024-01-29,A,2024-01-29 20:06:19,
69,45,5038-200971,01,458525.64,2022-02-24,A,2022-02-24 15:42:38,
70,17,6805-288214,02,684813.1,2022-01-29,A,2022-01-29 09:37:39,
71,32,6738-981278,02,32332.11,2023-06-21,A,2023-06-21 03:51:21,
72,23,6142-978720,02,3080163.43,2022-06-24,A,2022-06-24 20:08:54,
73,13,9774-144737,02,4848457.86,2022-05-14,C,2022-05-14 22:26:31,
74,82,5038-321658,01,1474485.55,2023-04-20,A,2023-04-20 13:09:24,
75,53,9195-955503,02,2016100.78,2022-10-21,A,2022-10-21 23:14:41,
76,72,1372-705311,02,376394.58,2023-07-04,A,2023-07-04 10:54:45,
77,52,7831-969809,01,985022.89,2021-11-29,F,2021-11-29 21:25:39,
78,34,8813-871259,01,175345.63,2021-10-01,A,2021-10-01 23:11:10,
79,48,9562-776604,02,2551673.75,2021-09-01,A,2021-09-01 03:51:19,
80,45,4172-838208,01,1089262.72,2021-07-28,A,2021-07-28 12:46:15,
81,92,2418-612533,01,1129651.04,2020-10-25,A,2020-10-25 17:26:39,
82,35,6176-265887,02,2072168.7,2021-08-31,A,2021-08-31 23:27:32,
83,79,4799-255871,01,1871447.43,2022-11-23,A,2022-11-23 19:11:45,
84,87,3116-808767,01,2100175.19,2021-07-10,A,2021-07-10 18:17:17,
85,15,8496-189079,02,322686.85,2021-04-24,A,2021-04-24 01:26:22,
86,83,8200-667224,02,452438.75,2022-09-29,A,2022-09-29 09:03:13,
87,32,5810-686749,02,914968.64,2021-09-04,F,2021-09-04 14:16:48,
88,69,4553-735194,01,1469482.72,2023-08-01,A,2023-08-01 02:12:36,
89,99,1803-159552,02,4127758.61,2021-11-29,A,2021-11-29 12:15:12,
90,96,4570-795165,02,1557556.87,2022-05-30,C,2022-05-30 05:12:44,
91,83,5103-348865,01,3676757.56,2023-05-26,A,2023-05-26 22:09:10,
92,60,2356-938348,01,3074641.78,2023-06-30,C,2023-06-30 03:30:10,
93,22,6484-777992,01,4369925.96,2021-06-28,A,2021-06-28 17:10:34,
94,21,1959-449171,01,895023.19,2021-03-24,A,2021-03-24 00:19:24,
95,36,5445-373851,01,709897.69,2020-04-28,A,2020-04-28 02:07:40,
96,65,5167-339945,01,4853382.53,2020-05-08,A,2020-05-08 03:08:14,
97,89,1583-487354,01,2001246.56,2021-03-25,A,2021-03-25 22:40:22,
98,58,6628-203510,02,4951442.58,2021-10-04,A,2021-10-04 21:36:47,
99,4,8996-803457,01,2740099.04,2023-07-07,A,2023-07-07 05:32:50,
100,42,1436-335985,02,1854559.44,2020-07-01,A,2020-07-01 00:56:38,
101,6,9857-944959,01,955306.03,2020-10-08,A,2020-10-08 08:16:37,
102,8,6932-477444,02,650008.5,2020-05-01,A,2020-05-01 07:26:39,
103,28,4236-325693,02,259848.84,2022-10-25,A,2022-10-25 02:44:05,
104,74,9522-663157,01,1698195.78,2021-03-12,C,2021-03-12 01:59:11,
105,4,3153-122896,02,558878.79,2020-08-04,A,2020-08-04 08:10:20,
106,18,2046-580075,02,4963126.87,2021-09-05,A,2021-09-05 12:41:01,
107,6,2804-813414,02,2023390.89,2023-02-24,A,2023-02-24 21:21:04,
108,43,3983-779827,01,928292.45,2022-06-17,A,2022-06-17 05:43:04,
109,98,2870-705055,01,2190328.25,2020-08-31,A,2020-08-31 22:45:40,
110,52,6259-301510,02,481009.87,2023-01-11,A,2023-01-11 18:27:13,
111,2,2993-589104,02,1896685.48,2021-06-22,C,2021-06-22 06:18:33,
112,50,8152-320250,02,115436.57,2022-06-26,A,2022-06-26 21:10:50,
113,21,7866-955262,01,3583279.88,2022-06-19,F,2022-06-19 06:08:43,
114,81,1347-397063,02,1615680.51,2022-03-26,A,2022-03-26 12:08:03,
115,69,5183-755208,01,3808497.63,2021-08-29,A,2021-08-29 06:03:22,
116,94,6314-521901,01,4611724.01,2023-04-08,A,2023-04-08 21:23:08,
117,37,4338-341487,02,1975792.12,2020-04-01,F,2020-04-01 06:58:38,
118,88,1557-178696,02,3445292.24,2021-10-12,A,2021-10-12 06:38:47,
119,93,9605-492058,02,1194653.07,2022-12-26,C,2022-12-26 04:39:04,
120,31,1094-395477,01,1923237.24,2022-04-05,A,2022-04-05 11:31:14,
121,5,1998-313574,01,2488907.62,2021-06-08,C,2021-06-08 20:24:01,
122,71,4924-652636,02,2739201.15,2020-10-10,A,2020-10-10 20:51:25,
123,66,5449-786870,01,2253937.4,2024-01-29,F,2024-01-29 00:46:51,
124,2,6468-392723,02,756873.97,2021-06-17,C,2021-06-17 13:12:49,
125,22,5718-198515,02,4783091.65,2020-02-29,A,2020-02-29 17:11:11,
126,72,7476-783258,01,4437105.02,2022-06-14,C,2022-06-14 10:07:16,
127,2,5340-453497,01,1497904.5,2020-05-27,C,2020-05-27 02:52:04,
128,62,3910-917881,01,3023794.36,2021-02-28,A,2021-02-28 21:18:09,
129,45,7418-374032,01,3894269.15,2023-12-14,A,2023-12-14 15:36:37,
130,43,2134-141636,02,965970.5,2021-03-26,A,2021-03-26 18:56:18,
131,51,2575-141335,01,1131583.62,2023-01-04,A,2023-01-04 09:43:30,
132,86,6995-308313,01,3416420.57,2022-11-03,A,2022-11-03 11:36:56,
133,6,1671-170667,02,2827824.19,2020-03-08,A,2020-03-08 12:00:01,
134,76,5551-676490,01,2492307.83,2023-03-24,A,2023-03-24 05:38:53,
135,48,2512-177931,01,4275248.96,2020-06-09,A,2020-06-09 02:38:30,
136,20,8335-789631,02,3968407.42,2023-04-09,A,2023-04-09 19:16:44,
137,49,7929-872404,01,2157632.13,2021-10-01,A,2021-10-01 01:37:44,
138,74,5893-590728,02,1440987.59,2022-01-12,A,2022-01-12 05:48:21,
139,7,5414-533999,01,4664985.69,2020-07-20,A,2020-07-20 22:11:48,
140,60,5923-699875,02,2532738.9,2021-04-02,C,2021-04-02 20:53:55,
141,40,4287-113631,02,3586896.28,2021-10-17,A,2021-10-17 10:50:09,
142,73,7495-773783,02,3240305.43,2022-01-28,A,2022-01-28 04:00:24,
143,62,6388-659827,02,3995182.19,2020-12-11,A,2020-12-11 22:50:46,
144,85,6989-301726,02,3250209.91,2022-05-02,C,2022-05-02 13:39:12,
145,88,6926-871263,01,3935237.5,2021-01-13,A,2021-01-13 10:02:55,
146,87,2547-546624,01,1652663.52,2020-08-13,A,2020-08-13 00:45:13,
147,99,9502-965618,02,636211.36,2023-03-21,A,2023-03-21 05:04:18,
148,17,7538-899077,01,3572002.34,2023-05-13,A,2023-05-13 15:38:54,
149,44,2959-970423,01,87916.72,2020-03-15,A,2020-03-15 14:32:46,
150,44,1447-809956,02,2642932.84,2021-12-22,A,2021-12-22 19:08:22,
151,100,5193-715120,01,599127.56,2022-06-07,A,2022-06-07 11:01:47,
152,29,6718-345685,01,1227056.26,2021-10-22,A,2021-10-22 07:51:55,
153,60,6241-586830,01,4500993.99,2021-06-13,A,2021-06-13 18:58:07,
154,97,3957-207899,01,4270221.46,2022-09-01,C,2022-09-01 12:03:00,
155,2,2821-140097,02,1682262.91,2023-08-14,A,2023-08-14 10:21:43,
156,36,3582-550327,01,1089982.27,2023-03-19,A,2023-03-19 15:21:45,
157,31,7810-542375,01,3410159.46,2022-06-06,A,2022-06-06 23:57:35,
158,48,9263-776112,01,2946073.58,2022-04-17,A,2022-04-17 15:10:27,
159,83,8638-247475,01,1648675.66,2022-01-02,C,2022-01-02 06:58:36,
160,50,1689-889837,01,618931.44,2020-05-13,A,2020-05-13 04:47:26,
161,13,1764-974789,01,3266971.53,2021-12-13,A,2021-12-13 04:39:11,
162,86,1612-721362,01,1384419.84,2022-08-24,F,2022-08-24 08:05:11,
163,63,5687-852672,01,4923057.87,2023-10-15,A,2023-10-15 22:52:14,
164,39,7838-345460,02,1707252.7,2022-03-02,A,2022-03-02 07:48:26,
165,77,5634-535123,02,2134508.14,2023-11-02,A,2023-11-02 22:19:44,
166,42,1251-283149,01,1181691.34,2020-04-04,C,2020-04-04 03:05:33,
167,18,6956-688201,01,804973.47,2023-10-12,A,2023-10-12 17:13:34,
168,12,6868-463187,01,1920395.64,2022-02-19,A,2022-02-19 04:11:11,
169,55,1502-550215,01,3730449.65,2020-06-21,C,2020-06-21 19:46:33,
170,54,6820-539847,02,267476.79,2020-12-30,C,2020-12-30 04:42:50,
171,41,1318-177583,01,1710084.6,2022-06-08,A,2022-06-08 06:19:59,
172,12,4770-571973,01,1789972.33,2023-06-19,A,2023-06-19 12:54:13,
173,65,6236-369560,02,4248710.77,2022-06-29,A,2022-06-29 18:57:16,
174,44,6052-351221,02,2913973.87,2023-06-11,A,2023-06-11 06:06:54,
175,87,6372-538425,02,1631848.49,2021-06-09,C,2021-06-09 09:22:07,
176,55,8737-663181,02,3277263.63,2022-04-26,A,2022-04-26 04:41:24,
177,90,3012-342520,02,2527739.97,2022-08-21,C,2022-08-21 01:45:56,
178,52,1095-571740,01,2088445.97,2020-12-12,A,2020-12-12 22:51:59,
179,85,6217-111027,01,2536127.49,2021-08-13,A,2021-08-13 20:48:03,
180,91,7607-225936,01,3665442.98,2022-11-08,A,2022-11-08 06:07:31,
