account_id,customer_id,account_no,account_kind,balance,opened_date,status,created_at,updated_at
61,46,9603-607168,01,4409848.54,2021-06-08,A,2021-06-08 09:08:31,
62,186,7276-246871,01,4093448.64,2020-07-05,A,2020-07-05 18:59:33,
63,192,9644-658553,01,1305798.29,2021-09-18,A,2021-09-18 22:56:57,
64,135,5348-899720,02,422758.4,2021-05-24,A,2021-05-24 03:12:54,
65,18,8323-645274,02,1961162.06,2021-12-10,A,2021-12-10 12:32:13,
66,32,5632-416284,01,4647140.22,2023-08-21,A,2023-08-21 02:32:31,
67,11,4109-800872,01,1422526.02,2022-12-17,C,2022-12-17 23:48:57,
68,26,8311-986280,01,4787738.2,2020-01-28,A,2020-01-28 04:06:01,
69,4,5496-102613,01,1444106.82,2021-10-19,A,2021-10-19 17:24:49,
70,79,6123-402988,01,1164242.8,2020-10-25,A,2020-10-25 15:58:48,
71,92,1180-932901,01,4506575.42,2022-08-30,A,2022-08-30 06:08:47,
72,135,5045-297508,01,242457.11,2023-01-13,A,2023-01-13 07:51:15,
73,105,1432-344949,01,2957355.48,2022-09-11,A,2022-09-11 05:13:48,
74,67,8956-606657,02,2168390.47,2021-06-02,A,2021-06-02 03:05:16,
75,193,7152-680512,01,1553977.49,2021-12-30,C,2021-12-30 20:53:46,
76,17,8756-138959,01,751250.11,2020-10-05,C,2020-10-05 00:24:35,
77,118,8273-327383,02,2285186.72,2021-03-19,A,2021-03-19 04:12:25,
78,25,5692-185692,01,4834674.43,2021-12-14,A,2021-12-14 06:48:56,
79,166,3746-627982,02,778131.6,2023-04-24,A,2023-04-24 00:26:35,
80,14,2090-931099,02,2099107.2,2021-11-07,A,2021-11-07 14:53:04,
81,113,3859-393091,02,4765300.01,2021-05-20,A,2021-05-20 16:06:51,
82,107,9315-125613,01,1773348.48,2021-11-04,A,2021-11-04 18:26:40,
83,83,3730-561666,01,3294351.44,2021-05-14,A,2021-05-14 19:58:59,
84,140,2000-320312,02,282132.69,2021-09-06,C,2021-09-06 11:22:58,
85,133,3240-326369,02,742260.81,2020-07-26,A,2020-07-26 21:01:59,
86,135,8894-353707,01,4827460.38,2020-01-27,A,2020-01-27 12:27:57,
87,139,1998-903351,01,53864.43,2021-09-15,F,2021-09-15 00:10:59,
88,53,8491-948319,01,738536.65,2021-06-07,A,2021-06-07 13:06:34,
89,119,9024-413660,02,1850483.31,2021-05-12,F,2021-05-12 12:34:59,
90,2,6118-474459,01,181905.32,2021-03-28,A,2021-03-28 08:08:12,
91,109,3796-466122,02,2172087.68,2021-03-25,A,2021-03-25 10:03:33,
92,52,3294-614048,02,316148.66,2020-01-30,A,2020-01-30 17:35:11,
93,93,6723-109873,01,550328.42,2023-01-17,C,2023-01-17 21:50:56,
94,71,6408-687305,01,2026608.02,2020-12-20,A,2020-12-20 19:22:13,
95,26,1270-874698,01,3732872.97,2022-05-10,C,2022-05-10 14:40:35,
96,116,9849-148714,01,1184797.37,2020-11-10,A,2020-11-10 08:44:07,
97,61,4073-344004,02,3487983.4,2021-05-07,A,2021-05-07 13:56:38,
98,68,5142-446042,01,604662.57,2020-05-12,A,2020-05-12 21:15:02,
99,76,3958-731510,02,1400325.83,2023-02-17,A,2023-02-17 12:22:00,
100,45,3054-891375,01,23201.47,2021-05-04,C,2021-05-04 18:07:57,
101,60,3292-976316,02,3597488.93,2022-08-06,A,2022-08-06 09:22:13,
102,153,4519-604890,01,2569166.18,2020-03-14,A,2020-03-14 21:18:26,
103,53,7506-251025,02,1210966.49,2021-10-12,A,2021-10-12 05:07:01,
104,172,9640-835832,01,663307.42,2022-11-28,A,2022-11-28 03:23:50,
105,151,1876-908793,01,526339.82,2022-04-22,C,2022-04-22 07:23:29,
106,28,4782-845545,01,2076135.94,2021-10-02,A,2021-10-02 23:54:57,
107,174,7865-806601,01,550315.01,2022-11-01,C,2022-11-01 02:53:41,
108,103,6659-739175,01,3496542.94,2023-09-19,A,2023-09-19 05:25:42,
109,96,7826-718166,02,4458985.66,2023-04-26,F,2023-04-26 21:40:56,
110,39,4486-492049,02,1599183.71,2023-04-28,A,2023-04-28 00:01:18,
111,26,3642-380360,01,2754209.25,2024-01-10,A,2024-01-10 22:39:25,
112,13,9151-979122,02,4238335.64,2022-06-06,C,2022-06-06 18:46:58,
113,38,9040-815633,01,3416073.83,2022-03-19,A,2022-03-19 23:52:54,
114,194,3310-794940,01,4920118.49,2022-03-09,A,2022-03-09 14:02:53,
115,37,6542-112144,01,4476318.27,2022-03-21,A,2022-03-21 18:42:29,
116,191,4160-864014,01,321135.27,2022-07-23,A,2022-07-23 06:25:27,
117,184,3422-173446,02,2243369.34,2022-03-27,A,2022-03-27 02:37:12,
118,26,2828-274411,01,880751.31,2021-07-14,C,2021-07-14 16:14:01,
119,154,1856-561320,01,4234918.88,2020-07-16,A,2020-07-16 06:59:33,
120,182,9842-205698,01,1641896.43,2022-11-10,F,2022-11-10 08:15:47,
121,179,4885-854468,02,2173516.12,2021-07-31,F,2021-07-31 17:08:34,
122,10,2306-894228,01,3365386.08,2022-05-18,A,2022-05-18 19:31:58,
123,196,9118-818185,01,1164280.32,2022-01-29,A,2022-01-29 05:53:06,
124,155,3737-255465,02,4453528.18,2022-05-12,C,2022-05-12 14:59:38,
125,57,4874-763192,02,4745858.34,2021-05-02,A,2021-05-02 14:32:16,
126,195,6792-291604,01,4925936.7,2021-05-23,C,2021-05-23 07:32:55,
127,63,4933-255381,01,4746190.0,2020-07-01,A,2020-07-01 11:51:16,
128,74,1190-947633,02,4657039.56,2023-06-18,C,2023-06-18 02:29:27,
129,11,6798-792868,01,1278558.81,2022-03-13,A,2022-03-13 15:10:09,
130,143,1036-555091,01,3206588.22,2023-03-21,C,2023-03-21 15:10:12,
131,137,3855-523877,01,4775652.94,2022-10-12,A,2022-10-12 10:40:15,
132,188,3488-426722,01,4488031.53,2020-05-19,A,2020-05-19 10:55:43,
133,10,1747-727858,01,3911952.3,2020-04-30,A,2020-04-30 13:21:41,
134,124,7248-664366,02,1749722.69,2023-05-26,A,2023-05-26 20:48:47,
135,64,4666-554111,01,351939.72,2020-03-29,F,2020-03-29 05:25:05,
136,82,9014-538175,02,3583120.75,2021-10-10,A,2021-10-10 03:53:13,
137,47,1817-701539,01,4607498.67,2023-12-13,A,2023-12-13 02:48:18,
138,84,6618-361024,02,2084401.46,2024-01-23,A,2024-01-23 02:46:43,
139,129,7229-912178,01,2969140.03,2023-06-02,A,2023-06-02 09:38:47,
140,148,4668-442045,01,3046017.71,2020-04-04,C,2020-04-04 01:54:40,
141,144,6562-766648,02,4929821.84,2024-01-07,A,2024-01-07 08:42:37,
142,88,1535-456828,01,4377352.64,2020-07-07,A,2020-07-07 23:14:14,
143,92,2802-171357,02,639280.77,2022-06-13,A,2022-06-13 17:25:52,
144,78,9986-731800,01,4837670.79,2023-05-08,A,2023-05-08 19:25:51,
145,71,7413-257991,01,4984205.43,2022-05-25,A,2022-05-25 15:29:46,
146,152,9316-370650,02,4478084.78,2020-05-21,A,2020-05-21 19:11:24,
147,80,7491-349681,01,866746.07,2023-09-16,A,2023-09-16 18:12:08,
148,44,5207-495987,01,2893815.46,2022-03-16,F,2022-03-16 21:21:35,
149,184,4802-108345,02,1752697.44,2020-01-23,A,2020-01-23 07:19:22,
150,66,5752-274931,01,246165.4,2022-04-21,F,2022-04-21 22:43:38,
151,191,5033-701960,02,4725086.43,2020-03-25,A,2020-03-25 03:43:42,
152,21,7857-936270,01,2198387.99,2020-08-30,F,2020-08-30 16:54:49,
153,165,8942-172641,02,2946022.84,2020-12-13,A,2020-12-13 06:20:48,
154,124,8974-728348,01,2909272.93,2022-07-29,A,2022-07-29 11:30:15,
155,92,4740-127516,01,3925091.85,2021-03-27,A,2021-03-27 20:45:02,
156,114,7767-229870,01,4380246.34,2020-11-13,C,2020-11-13 02:57:35,
157,32,1758-140246,02,1306685.14,2023-12-01,A,2023-12-01 02:54:29,
158,70,2559-866197,01,877472.13,2022-01-12,A,2022-01-12 16:52:13,
159,12,2526-656034,02,977037.29,2023-06-10,C,2023-06-10 05:02:24,
160,134,9214-477618,01,1349339.78,2020-12-25,C,2020-12-25 20:47:17,
161,62,7102-773683,02,1690982.99,2020-08-09,A,2020-08-09 17:53:41,
162,56,1533-234895,02,2578015.17,2022-10-11,A,2022-10-11 04:46:12,
163,16,6507-195812,02,265613.64,2021-05-31,A,2021-05-31 00:17:14,
164,75,1477-327491,01,4220277.83,2022-01-25,A,2022-01-25 23:46:38,
165,161,9353-207097,02,1153310.75,2020-05-14,A,2020-05-14 18:23:49,
166,124,9231-313139,01,998179.76,2023-01-28,C,2023-01-28 00:17:17,
167,66,8398-353506,01,4161705.03,2023-11-10,A,2023-11-10 00:26:34,
168,73,7681-817905,01,121839.99,2023-05-13,A,2023-05-13 22:30:29,
169,138,2516-219509,01,2109796.67,2023-12-02,A,2023-12-02 07:06:13,
170,72,8548-969638,01,1410919.62,2020-08-10,A,2020-08-10 14:49:43,
171,48,1951-156208,01,1856529.71,2023-09-13,A,2023-09-13 13:50:57,
172,4,3616-351944,01,2196528.38,2021-11-22,A,2021-11-22 19:22:31,
173,147,9743-725371,01,4126185.77,2021-03-28,A,2021-03-28 05:02:11,
174,190,5405-356405,02,4340029.73,2020-05-10,A,2020-05-10 06:07:45,
175,129,5347-812267,02,408951.85,2020-05-29,A,2020-05-29 19:24:25,
176,181,7789-107752,02,989427.03,2022-03-22,A,2022-03-22 21:02:30,
177,35,8340-411441,02,3570231.23,2021-07-07,A,2021-07-07 14:14:33,
178,127,9530-840422,01,2240276.46,2024-01-05,A,2024-01-05 15:44:00,
179,96,7217-124279,01,785768.37,2023-05-03,A,2023-05-03 14:03:53,
180,82,8741-808625,01,2459810.32,2020-09-30,F,2020-09-30 11:19:45,
181,31,2445-376716,02,197189.1,2020-01-07,A,2020-01-07 18:14:20,
182,21,7122-344621,02,3511868.5,2022-08-17,A,2022-08-17 09:13:08,
183,142,2457-951401,02,2654944.65,2023-06-24,A,2023-06-24 16:58:18,
184,33,3019-104974,02,4004093.32,2020-08-26,A,2020-08-26 09:22:14,
185,184,3658-427063,01,394144.7,2020-10-07,A,2020-10-07 03:02:57,
186,103,3398-549052,02,1097805.13,2023-01-22,A,2023-01-22 00:56:35,
187,56,5702-624996,02,2175102.67,2023-08-23,A,2023-08-23 19:18:09,
188,84,6075-951262,01,1189998.71,2021-04-20,C,2021-04-20 11:15:29,
189,174,3221-359081,01,3312490.51,2023-11-20,A,2023-11-20 09:31:07,
190,53,8637-826996,02,1209426.13,2022-02-14,A,2022-02-14 18:09:11,
191,175,1961-299183,01,3050160.17,2023-05-16,A,2023-05-16 19:45:26,
192,84,6541-375663,02,2886207.21,2021-06-28,C,2021-06-28 10:19:20,
193,5,3857-279057,02,766663.59,2020-08-26,A,2020-08-26 11:17:08,
194,55,6474-220913,02,923567.43,2022-05-18,A,2022-05-18 22:20:30,
195,21,3263-962938,01,2477775.3,2020-09-12,A,2020-09-12 14:07:46,
196,24,5840-354435,01,3691094.74,2020-10-10,A,2020-10-10 19:21:12,
197,100,8053-923139,01,899823.69,2021-02-15,A,2021-02-15 11:18:32,
198,30,9266-925163,02,550511.36,2022-02-05,A,2022-02-05 19:34:00,
199,197,4454-189765,01,1831280.44,2023-11-27,A,2023-11-27 21:55:37,
200,83,7921-328571,01,353007.78,2023-11-03,A,2023-11-03 08:44:36,
201,162,1161-273647,01,143333.62,2023-09-27,C,2023-09-27 16:04:47,
202,56,9531-582443,02,4812116.08,2021-10-19,C,2021-10-19 13:52:47,
203,84,8662-362260,02,3919943.33,2021-06-14,A,2021-06-14 20:33:16,
204,144,4973-779902,01,3563819.25,2023-02-21,F,2023-02-21 05:31:07,
205,22,1653-209190,01,4402894.76,2021-11-27,A,2021-11-27 18:24:10,
206,102,7090-482450,01,1698556.41,2022-08-03,C,2022-08-03 12:18:17,
207,155,9786-476937,02,1349129.45,2020-01-26,A,2020-01-26 11:25:50,
208,8,7926-627287,02,1956137.25,2022-09-24,A,2022-09-24 19:55:23,
209,71,9652-236163,01,93667.22,2020-09-06,A,2020-09-06 16:17:53,
210,168,9248-699899,01,56516.11,2023-10-06,A,2023-10-06 12:49:22,
211,84,8193-641545,02,2708829.23,2023-12-03,A,2023-12-03 10:22:38,
212,26,9932-424374,01,4212858.64,2020-01-13,F,2020-01-13 04:52:56,
213,165,5560-850660,01,4943875.22,2021-03-04,C,2021-03-04 11:00:24,
214,19,2436-861371,01,4400332.41,2024-01-30,A,2024-01-30 15:09:20,
215,1,6463-702463,02,2428969.78,2022-08-25,A,2022-08-25 19:22:46,
216,185,5069-294005,01,4918416.81,2020-05-14,A,2020-05-14 00:54:33,
217,176,1408-973012,01,3446272.89,2022-07-24,A,2022-07-24 09:23:02,
218,2,1294-367217,02,1437552.38,2021-10-16,A,2021-10-16 16:18:25,
219,145,7076-654540,01,4359436.62,2021-09-29,A,2021-09-29 14:01:00,
220,33,4852-935228,01,3796078.29,2020-04-09,F,2020-04-09 08:18:54,
221,141,8718-588055,01,583150.66,2020-01-07,A,2020-01-07 12:55:22,
222,119,9396-302076,02,2976904.47,2023-05-08,A,2023-05-08 02:33:55,
223,32,6214-138142,02,123330.62,2022-01-29,A,2022-01-29 21:49:57,
224,136,8597-170046,02,1533437.52,2022-10-29,C,2022-10-29 23:21:16,
225,78,1193-791727,02,1918047.94,2022-10-29,C,2022-10-29 00:29:48,
226,87,4117-984264,01,4781573.92,2021-01-29,A,2021-01-29 16:54:27,
227,172,5230-985018,01,246680.68,2020-10-07,A,2020-10-07 15:49:29,
228,57,4148-679363,02,2881434.88,2023-12-12,C,2023-12-12 20:12:53,
229,93,8691-604064,01,3394263.76,2023-01-28,A,2023-01-28 14:04:23,
230,104,8092-174645,02,1394194.48,2022-04-23,A,2022-04-23 01:24:30,
231,76,5614-704668,01,2369623.03,2023-09-03,A,2023-09-03 10:30:58,
232,113,1313-933598,01,3813173.65,2022-03-31,A,2022-03-31 14:56:40,
233,106,1511-199569,02,2716974.85,2020-10-12,A,2020-10-12 01:09:28,
234,160,2367-909579,01,3211160.53,2022-05-09,A,2022-05-09 00:08:30,
235,84,9932-964876,01,1511482.68,2023-12-07,A,2023-12-07 05:44:53,
236,122,2388-114195,01,132979.13,2021-05-17,A,2021-05-17 17:53:27,
237,170,4719-233474,02,4144306.25,2023-10-05,A,2023-10-05 04:03:28,
238,50,7238-664865,01,3432964.77,2021-05-09,A,2021-05-09 07:11:05,
239,52,2778-324910,01,1765347.63,2020-10-13,A,2020-10-13 22:52:24,
240,63,8795-778258,01,1279839.08,2022-05-31,A,2022-05-31 01:09:19,
241,17,5640-720916,02,4933311.08,2022-11-22,A,2022-11-22 19:59:46,
242,170,7028-494349,01,134170.05,2023-04-10,A,2023-04-10 09:43:42,
243,70,1107-509833,01,2348755.77,2022-12-19,A,2022-12-19 18:58:55,
244,45,1967-712740,01,3733862.82,2020-03-13,A,2020-03-13 20:17:29,
245,107,9015-670422,01,4142916.54,2020-08-14,A,2020-08-14 08:05:57,
246,47,7640-542825,02,3405591.19,2020-06-09,C,2020-06-09 21:02:23,
247,25,8476-930799,02,4084934.46,2021-05-07,A,2021-05-07 12:10:55,
248,126,1297-288946,02,4476988.88,2021-05-12,C,2021-05-12 20:12:57,
249,68,5028-735636,02,3056616.67,2020-07-09,C,2020-07-09 08:25:54,
250,159,5288-964062,02,1040443.82,2023-06-21,A,2023-06-21 12:29:11,
251,136,2470-441307,02,4302400.48,2023-07-07,A,2023-07-07 03:26:15,
252,31,8631-897066,01,2610829.28,2023-02-11,A,2023-02-11 15:36:16,
253,41,8849-244151,01,888022.82,2023-08-19,A,2023-08-19 14:35:31,
254,174,6166-497341,01,2182582.89,2021-05-23,A,2021-05-23 13:16:23,
255,52,1246-945308,01,3435493.9,2023-07-23,C,2023-07-23 20:56:55,
256,98,9692-808691,02,2209701.29,2020-10-29,A,2020-10-29 05:29:20,
257,190,4827-939192,01,4320396.32,2022-05-09,A,2022-05-09 01:41:59,
258,120,1305-565242,01,2108811.34,2023-09-01,A,2023-09-01 12:47:42,
259,18,7781-504248,01,3090784.24,2021-06-13,A,2021-06-13 11:42:19,
260,178,2906-852395,02,4282499.34,2021-02-24,A,2021-02-24 09:50:55,
261,110,3226-467575,02,2648211.73,2023-10-31,A,2023-10-31 22:24:13,
262,81,8730-128012,01,1811051.27,2023-01-01,A,2023-01-01 04:10:11,
263,115,3276-111647,02,1527522.68,2020-04-18,C,2020-04-18 19:56:23,
264,125,1467-467452,01,2047776.27,2022-01-09,C,2022-01-09 04:36:12,
265,3,4117-955031,01,3450602.37,2021-04-26,A,2021-04-26 04:50:46,
266,3,6093-132778,01,4397800.43,2020-11-30,A,2020-11-30 00:34:48,
267,57,3633-452359,01,2800757.55,2023-01-26,A,2023-01-26 00:23:33,
268,91,8770-891516,01,4031208.78,2021-07-07,C,2021-07-07 03:17:24,
269,170,1821-826958,01,4696616.6,2021-11-19,A,2021-11-19 21:03:15,
270,11,2033-809262,02,4591020.77,2022-01-21,A,2022-01-21 16:18:31,
271,76,4142-313340,01,4613859.99,2023-07-06,F,2023-07-06 09:00:41,
272,89,2012-857324,01,5876.51,2023-06-18,C,2023-06-18 19:27:59,
273,54,1210-328081,02,57283.32,2022-06-09,A,2022-06-09 00:08:59,
274,111,1072-267093,02,3134520.13,2020-07-23,A,2020-07-23 20:29:04,
275,72,3336-193853,01,1779089.11,2021-12-14,A,2021-12-14 00:08:45,
276,189,7583-915718,02,3449963.02,2022-09-10,A,2022-09-10 13:49:11,
277,90,4172-926695,01,4731539.59,2022-01-04,C,2022-01-04 11:29:47,
278,79,9084-711103,01,333884.57,2022-11-01,A,2022-11-01 19:18:18,
279,18,9880-614318,02,3476418.82,2023-07-27,F,2023-07-27 08:26:45,
280,157,5599-655484,02,4524599.63,2021-06-21,A,2021-06-21 23:11:31,
281,64,9018-819804,01,3009591.05,2023-09-19,F,2023-09-19 02:39:57,
282,172,4910-688702,01,4127521.42,2020-02-09,A,2020-02-09 18:20:03,
283,142,4878-600753,01,4367923.89,2023-12-15,A,2023-12-15 10:39:10,
284,170,2213-313814,02,1089569.91,2023-10-09,A,2023-10-09 02:13:32,
285,8,1855-988741,01,907411.14,2020-01-01,A,2020-01-01 05:06:55,
286,36,1466-565083,01,427441.09,2022-09-10,A,2022-09-10 03:38:42,
287,136,4523-915339,01,515982.48,2023-10-03,A,2023-10-03 15:27:51,
288,174,2355-623817,01,633045.33,2021-06-26,A,2021-06-26 12:51:18,
289,35,5161-483491,01,3911924.02,2020-08-12,A,2020-08-12 10:30:17,
290,60,7956-833553,01,3960208.6,2022-06-19,A,2022-06-19 09:29:06,
291,118,7897-102231,02,1848419.81,2020-02-22,A,2020-02-22 07:36:04,
292,173,6277-840060,01,967161.2,2022-11-24,A,2022-11-24 22:10:43,
293,16,5151-129479,01,1614536.74,2020-02-23,A,2020-02-23 05:52:54,
294,167,3760-477469,01,3714950.01,2023-04-25,A,2023-04-25 07:22:44,
295,152,9747-466763,01,4767994.04,2020-04-07,F,2020-04-07 18:20:47,
296,80,5961-514396,01,2677128.31,2023-09-24,A,2023-09-24 19:24:53,
297,107,3900-874334,02,2733174.83,2021-11-18,A,2021-11-18 10:33:27,
298,156,6663-812645,02,913834.34,2020-03-14,C,2020-03-14 22:30:42,
299,86,7567-186419,01,4802376.31,2021-07-22,A,2021-07-22 02:42:01,
300,176,2033-465250,01,4280783.54,2023-04-20,A,2023-04-20 00:40:16,
301,22,4744-350318,02,2467845.93,2021-12-21,C,2021-12-21 15:46:50,
302,98,4105-502300,01,2234863.54,2023-06-23,F,2023-06-23 18:39:28,
303,106,9124-924959,02,902570.49,2021-09-28,A,2021-09-28 05:38:22,
304,19,8125-490965,02,945841.76,2020-09-11,A,2020-09-11 08:53:29,
305,107,5375-521036,01,111193.67,2022-02-04,A,2022-02-04 10:53:19,
306,86,3026-737601,01,3231028.91,2020-11-02,C,2020-11-02 04:06:43,
307,101,3871-644495,02,629805.3,2023-07-15,A,2023-07-15 14:48:40,
308,185,3448-665919,02,2588080.95,2022-04-04,A,2022-04-04 17:43:47,
309,86,4699-701388,01,684702.09,2020-10-05,F,2020-10-05 14:08:20,
310,180,8696-781045,02,410727.33,2021-05-09,A,2021-05-09 01:39:56,
311,89,1292-177376,01,1535583.55,2022-02-16,A,2022-02-16 19:39:09,
312,61,8048-710158,02,2359916.58,2020-09-17,A,2020-09-17 04:06:53,
313,112,5191-691709,02,4378345.05,2020-11-11,F,2020-11-11 22:39:32,
314,68,9758-573553,01,3878162.56,2022-02-01,A,2022-02-01 21:21:54,
315,121,7452-520730,01,3041881.59,2023-02-24,A,2023-02-24 15:53:10,
316,123,4471-231459,01,919783.5,2020-07-28,A,2020-07-28 15:11:07,
317,171,5913-593658,01,1102490.87,2021-03-27,A,2021-03-27 19:43:14,
318,80,8993-366050,01,4337435.91,2023-04-01,A,2023-04-01 23:55:16,
319,112,7783-275299,01,3397551.72,2022-01-20,A,2022-01-20 14:01:59,
320,46,1554-375716,01,3710328.14,2022-07-29,A,2022-07-29 16:48:00,
321,47,9040-191438,02,1961112.45,2023-06-21,A,2023-06-21 08:28:00,
322,93,3508-482901,02,3843398.13,2023-05-26,C,2023-05-26 23:12:56,
323,145,3760-788484,01,2484237.09,2020-12-15,F,2020-12-15 07:52:07,
324,77,9505-585656,01,759710.29,2022-07-05,A,2022-07-05 16:43:27,
325,106,3661-234735,01,169456.46,2023-06-24,A,2023-06-24 06:23:45,
326,177,1493-988208,01,457417.84,2020-04-25,A,2020-04-25 04:58:40,
327,27,2376-418235,01,2484464.66,2022-01-09,C,2022-01-09 11:56:43,
328,113,3222-450764,01,3667608.14,2021-10-08,A,2021-10-08 20:21:37,
329,136,6997-126013,01,4748107.02,2021-05-25,A,2021-05-25 02:14:53,
330,118,9517-746293,02,1288446.54,2022-07-04,A,2022-07-04 04:12:22,
331,157,8762-653028,01,4184923.5,2021-01-27,F,2021-01-27 07:50:09,
332,195,7771-427282,01,3485244.98,2021-02-12,A,2021-02-12 10:09:05,
333,64,9516-589282,02,3233262.41,2020-09-26,A,2020-09-26 23:25:37,
334,50,2103-106009,02,254238.92,2020-11-14,A,2020-11-14 11:37:03,
335,84,2419-767876,02,3817974.37,2020-08-18,A,2020-08-18 02:32:37,
336,16,7681-458297,01,4981439.6,2023-08-13,A,2023-08-13 06:45:19,
337,114,4290-339073,01,1868843.43,2020-03-14,A,2020-03-14 20:24:08,
338,135,2360-600634,01,4062605.08,2020-10-17,C,2020-10-17 22:10:22,
339,134,9647-304206,02,2687508.35,2023-10-02,A,2023-10-02 01:10:09,
340,87,2604-312207,01,1059944.53,2022-10-26,A,2022-10-26 00:42:46,
341,145,6882-870340,01,4542626.49,2020-09-26,A,2020-09-26 00:23:59,
