ACCOUNT_ID,CUSTOMER_ID,BRANCH_ID,ACCOUNT_NO,ACCOUNT_KIND_CD,BALANCE,OPENED_DT,STATUS_CD,ENTRY_TS,UPDATE_TS
30,38,11,6305-988164,01,4361269.62,2020-12-06,A,2020-12-06 06:38:21,
31,76,11,5568-300947,01,1426251.75,2020-07-14,A,2020-07-14 01:37:08,
32,27,4,3990-135687,02,2987909.79,2021-08-27,F,2021-08-27 22:35:25,
33,10,12,9605-492058,02,1194653.07,2022-12-26,C,2022-12-26 04:39:04,
34,31,6,1094-395477,01,2753934.65,2022-09-11,A,2022-09-11 11:31:14,
35,5,1,8264-674452,01,905198.17,2023-04-14,A,2023-04-14 07:24:56,
36,13,3,8385-489141,01,2864291.9,2022-12-15,A,2022-12-15 13:51:24,
37,94,2,1080-373133,02,3671188.51,2023-09-03,A,2023-09-03 05:30:40,
38,47,6,5718-198515,01,4382602.48,2023-11-05,A,2023-11-05 17:11:11,
39,72,7,1191-286687,01,4647947.79,2022-03-01,A,2022-03-01 14:23:31,
40,39,11,6783-151541,02,4477850.67,2020-06-10,A,2020-06-10 17:36:11,
41,78,12,1880-916687,01,2407191.68,2020-12-29,A,2020-12-29 12:43:40,
42,67,12,1598-330480,01,2143776.44,2022-03-13,A,2022-03-13 07:02:02,
43,50,9,9796-572847,01,198539.73,2021-04-30,A,2021-04-30 17:45:32,
44,35,2,2998-928514,01,926338.83,2023-10-31,A,2023-10-31 18:14:50,
45,41,12,4959-356297,01,221470.96,2022-04-21,A,2022-04-21 01:11:43,
46,43,1,3541-391277,01,407546.61,2022-10-17,C,2022-10-17 01:05:27,
47,71,6,2512-177931,01,4275248.96,2020-06-09,A,2020-06-09 02:38:30,
48,20,8,7211-112427,02,2915919.36,2022-12-20,C,2022-12-20 16:18:01,
49,56,7,5721-882875,01,3516965.73,2020-04-01,A,2020-04-01 20:55:40,
50,47,12,2614-160358,01,3096652.41,2022-08-16,A,2022-08-16 01:51:24,
51,92,12,9299-286953,02,2770520.27,2022-04-27,A,2022-04-27 03:37:51,
52,29,10,6771-852226,02,3858317.78,2023-03-17,C,2023-03-17 11:08:50,
53,41,10,7069-235865,02,1003155.56,2023-02-27,F,2023-02-27 23:35:42,
54,71,2,8780-627771,01,2386462.38,2022-12-12,A,2022-12-12 06:08:55,
55,81,6,5046-493219,01,3752544.29,2023-08-24,F,2023-08-24 15:09:50,
56,47,4,6926-871263,02,2017571.24,2022-01-13,A,2022-01-13 10:02:55,
57,87,7,2547-546624,01,3343448.82,2020-08-13,A,2020-08-13 00:45:13,
58,99,5,3052-653554,01,2868779.54,2021-04-07,C,2021-04-07 18:53:39,
59,27,12,4685-620574,02,3434160.13,2022-05-30,C,2022-05-30 12:22:33,
60,3,8,6583-974765,01,1032631.99,2022-03-29,A,2022-03-29 04:21:13,
61,88,9,2963-554765,01,297985.63,2022-12-12,A,2022-12-12 02:29:34,
62,69,8,3943-357332,01,4805895.36,2023-04-16,F,2023-04-16 19:34:45,
63,69,6,5237-820815,01,1080135.83,2021-04-24,A,2021-04-24 11:21:22,
64,4,12,3062-995530,02,4633913.29,2021-10-17,A,2021-10-17 08:49:50,
65,68,8,6512-237828,02,1654851.0,2020-07-29,A,2020-07-29 11:12:41,
66,83,4,7203-328585,01,3376397.61,2020-08-15,A,2020-08-15 14:45:19,
67,94,10,3170-271338,01,2109724.65,2023-07-26,A,2023-07-26 08:41:20,
68,88,7,8547-528584,01,3290379.06,2022-05-14,A,2022-05-14 13:15:28,
69,73,1,6857-212998,01,3223957.44,2022-09-15,A,2022-09-15 07:53:38,
70,25,12,8402-237975,01,1948743.1,2021-02-20,A,2021-02-20 02:22:01,
71,80,10,3593-706900,01,505351.21,2020-09-15,A,2020-09-15 12:40:04,
72,17,1,4638-139205,02,2918345.21,2021-07-21,A,2021-07-21 09:25:35,
73,76,8,5687-852672,01,4923057.87,2023-10-15,A,2023-10-15 22:52:14,
74,39,1,7838-345460,01,4462037.99,2023-11-29,A,2023-11-29 07:48:26,
75,77,11,5634-535123,01,3471075.25,2023-11-02,A,2023-11-02 22:19:44,
76,42,5,3201-466226,01,2096335.22,2022-05-06,A,2022-05-06 06:21:33,
77,7,3,3390-747103,02,1282742.42,2022-08-26,A,2022-08-26 03:21:31,
78,50,1,4953-812761,02,2642010.31,2020-08-23,A,2020-08-23 15:31:53,
79,96,6,1876-558613,01,3898446.32,2020-03-03,A,2020-03-03 15:13:22,
80,23,4,1437-229800,01,2097356.67,2022-03-26,A,2022-03-26 15:48:20,
81,23,1,6854-471630,01,88466.66,2022-01-03,A,2022-01-03 05:47:50,
82,91,10,6236-369560,02,2250547.24,2021-11-25,A,2021-11-25 18:57:16,
83,44,10,4925-810983,01,4569609.3,2024-01-15,A,2024-01-15 11:13:36,
84,8,6,7850-546212,01,4016338.88,2021-06-10,A,2021-06-10 11:56:16,
85,47,11,8737-663181,02,4395313.0,2022-04-26,A,2022-04-26 04:41:24,
86,90,12,3012-342520,02,849687.45,2022-08-21,C,2022-08-21 01:45:56,
87,52,6,1095-571740,02,2852501.54,2022-03-21,A,2022-03-21 22:51:59,
88,85,1,6217-111027,01,4853491.89,2021-08-13,A,2021-08-13 20:48:03,
89,91,4,7607-225936,01,3867091.53,2022-11-08,A,2022-11-08 06:07:31,
90,33,5,8033-174709,01,4855191.38,2022-04-01,A,2022-04-01 07:06:27,
91,85,8,9168-332428,01,1473586.76,2021-02-09,A,2021-02-09 11:12:11,
92,87,2,8496-865294,01,4789094.81,2020-10-25,A,2020-10-25 10:46:10,
93,76,5,1551-753468,02,593663.68,2020-04-24,F,2020-04-24 01:48:28,
94,52,5,5032-634336,02,2189340.02,2021-12-26,A,2021-12-26 23:09:02,
95,96,5,3163-271786,01,4827613.68,2021-05-20,C,2021-05-20 15:47:53,
96,25,6,4273-110475,01,50607.43,2024-01-07,A,2024-01-07 22:13:11,
97,96,12,7324-519946,01,2019010.36,2021-11-10,A,2021-11-10 08:30:48,
98,51,1,1182-129856,02,883978.31,2021-03-09,A,2021-03-09 03:10:16,
99,35,9,1214-134551,02,2477726.64,2022-06-08,A,2022-06-08 21:13:23,
100,68,6,6651-341529,01,623256.9,2023-07-26,A,2023-07-26 06:28:38,
101,55,3,2849-956810,02,3316070.24,2020-06-01,A,2020-06-01 20:08:46,
102,7,7,6114-520744,02,1769917.01,2021-02-07,C,2021-02-07 16:34:00,
103,29,11,4415-243288,01,3184802.94,2020-12-04,A,2020-12-04 16:08:26,
104,42,11,2143-718147,02,232301.81,2022-04-05,A,2022-04-05 15:53:40,
105,16,2,8238-128692,02,2213300.38,2021-01-05,A,2021-01-05 14:03:10,
106,29,1,2915-997767,02,2060556.19,2022-07-25,A,2022-07-25 12:14:28,
107,9,9,9061-615392,01,2596419.45,2021-08-18,C,2021-08-18 18:29:09,
108,41,11,9482-279769,01,1186139.16,2022-07-25,A,2022-07-25 15:13:21,
109,39,10,5713-279572,01,2497504.04,2020-06-11,A,2020-06-11 15:18:34,
110,39,11,2104-226275,02,2585440.5,2021-05-02,A,2021-05-02 14:00:03,
111,97,9,9156-896754,01,4410428.01,2021-01-27,A,2021-01-27 23:14:20,
112,94,4,4154-633498,01,3263381.66,2022-12-23,C,2022-12-23 06:29:22,
113,24,11,5360-246014,01,4291783.55,2020-04-27,A,2020-04-27 11:59:15,
114,40,8,9633-620600,02,1483595.77,2023-10-17,A,2023-10-17 21:58:37,
115,11,9,1460-183249,01,1924979.53,2022-07-20,A,2022-07-20 20:06:55,
116,70,7,8050-689832,02,635796.25,2023-09-27,A,2023-09-27 22:36:57,
117,91,12,2836-179842,01,1880957.91,2022-09-11,A,2022-09-11 19:13:06,
118,9,5,5653-296145,02,904936.57,2023-07-25,A,2023-07-25 15:39:49,
119,69,12,7145-775978,02,4645394.75,2020-08-30,A,2020-08-30 04:57:19,
120,98,5,1973-716576,01,2483994.45,2022-09-17,A,2022-09-17 12:46:08,
121,33,2,2419-337523,02,3710365.25,2022-02-20,A,2022-02-20 11:50:53,
122,40,4,8377-182381,01,4443434.25,2022-12-02,A,2022-12-02 21:37:41,
123,88,2,8202-446229,01,2161746.84,2022-06-16,A,2022-06-16 21:04:30,
124,20,12,5034-580223,02,53935.58,2023-09-04,C,2023-09-04 15:29:19,
125,38,7,3493-824524,01,2785515.02,2021-08-05,A,2021-08-05 04:15:48,
126,67,11,4165-180167,01,4621870.82,2024-01-30,A,2024-01-30 15:57:18,
127,3,9,2125-993006,01,4640050.15,2023-01-11,A,2023-01-11 00:12:39,
128,40,11,8090-342429,01,1431137.73,2020-03-06,C,2020-03-06 18:43:26,
129,36,1,2209-106281,01,288204.38,2021-06-02,A,2021-06-02 08:58:33,
130,4,1,2061-925219,01,161360.26,2023-01-01,F,2023-01-01 13:30:44,
131,75,4,8409-988760,01,485937.56,2021-07-09,A,2021-07-09 22:56:38,
132,31,2,4721-579566,01,421241.64,2021-01-17,A,2021-01-17 15:42:57,
133,88,9,3477-901410,01,2106.44,2021-07-15,C,2021-07-15 16:22:44,
134,99,8,4017-447528,01,839821.13,2020-11-23,C,2020-11-23 17:09:37,
135,40,3,3801-222781,02,482804.69,2023-08-28,A,2023-08-28 06:53:53,
136,79,6,8869-706275,02,518920.54,2023-12-29,A,2023-12-29 05:26:56,
137,33,10,5765-452114,01,4060810.2,2023-02-14,A,2023-02-14 20:57:25,
138,96,6,6327-757352,01,4041327.42,2023-08-25,C,2023-08-25 09:52:26,
139,2,1,2679-690694,01,3804884.84,2023-08-27,A,2023-08-27 08:57:09,
140,18,6,4914-639154,01,782776.73,2020-04-15,A,2020-04-15 17:33:55,
141,56,9,9958-271027,01,3749682.05,2022-02-18,A,2022-02-18 06:07:31,
142,37,1,5241-187593,01,2214797.4,2021-12-24,C,2021-12-24 00:29:33,
143,13,4,4858-689796,01,392883.19,2020-07-25,A,2020-07-25 06:19:57,
144,84,1,5854-642952,02,1430372.44,2020-02-22,C,2020-02-22 10:28:23,
145,13,4,2554-268971,01,1000076.93,2021-06-04,A,2021-06-04 09:14:18,
146,71,8,5541-467074,01,38130.7,2022-12-18,A,2022-12-18 15:06:29,
147,81,10,2589-820661,01,2108205.39,2020-04-21,A,2020-04-21 10:36:27,
148,15,6,6728-376573,02,2584084.84,2020-04-21,F,2020-04-21 15:09:27,
149,22,5,3301-773570,01,3840821.54,2022-08-09,F,2022-08-09 20:44:21,
150,8,5,7131-336860,01,699733.2,2021-07-14,A,2021-07-14 13:13:05,
151,30,10,5459-663321,01,3815947.83,2022-08-24,A,2022-08-24 15:33:53,
152,91,8,8249-229514,02,2704257.55,2022-05-01,A,2022-05-01 03:30:59,
153,17,9,5070-899210,01,1210371.78,2023-12-03,A,2023-12-03 10:46:33,
154,32,12,8744-162138,01,4694351.47,2021-11-03,C,2021-11-03 07:31:44,
155,96,4,1647-627773,01,433970.99,2022-06-29,A,2022-06-29 14:22:38,
156,6,5,5931-926135,02,2443706.2,2022-06-17,A,2022-06-17 20:59:04,
157,76,8,9310-856299,01,200866.88,2020-06-05,A,2020-06-05 16:45:54,
158,56,9,9902-815460,02,1634919.67,2020-09-14,A,2020-09-14 01:16:19,
159,83,8,5135-765531,01,123798.43,2021-09-25,A,2021-09-25 08:52:34,
160,22,7,5680-791223,01,240607.4,2023-11-27,C,2023-11-27 01:20:15,
161,15,2,6479-915726,02,3176667.91,2023-07-01,F,2023-07-01 05:35:19,
162,89,7,6935-793402,01,39938.3,2022-11-22,A,2022-11-22 03:34:27,
163,35,6,7515-201126,02,3256341.12,2020-03-11,C,2020-03-11 15:29:03,
164,81,3,6223-276007,01,3330888.93,2023-06-21,A,2023-06-21 19:29:17,
165,22,3,3348-989296,01,3364002.67,2020-10-22,C,2020-10-22 18:02:52,
166,67,8,3009-242639,02,2588578.81,2023-06-20,A,2023-06-20 11:44:31,
167,70,5,5525-583620,02,888514.17,2020-10-26,A,2020-10-26 13:41:35,
168,55,5,4443-397035,01,2510411.36,2020-12-07,A,2020-12-07 22:41:50,
169,48,7,3763-961839,02,3363808.6,2020-10-08,A,2020-10-08 14:59:18,
170,6,10,2168-786594,01,4668996.48,2020-03-02,A,2020-03-02 11:38:27,
171,94,4,6444-518893,01,509599.92,2021-08-14,A,2021-08-14 06:13:23,
172,84,6,3964-247788,01,2964473.13,2021-07-23,C,2021-07-23 19:35:45,
173,30,9,2063-131199,02,305956.95,2022-12-06,C,2022-12-06 09:15:13,
174,71,4,2613-672960,01,1286831.86,2020-12-31,A,2020-12-31 12:08:45,
175,74,3,3894-111419,02,86565.34,2020-08-11,A,2020-08-11 09:59:18,
176,35,6,4632-422754,01,2397229.73,2020-04-10,C,2020-04-10 09:22:01,
177,87,3,5197-488381,02,2304639.87,2023-06-20,A,2023-06-20 02:23:24,
178,16,8,8467-421668,01,1574787.96,2020-10-21,A,2020-10-21 14:30:26,
179,28,7,8480-652665,01,2473144.88,2020-03-29,A,2020-03-29 14:32:59,
180,6,9,6725-511949,02,3763620.97,2022-09-07,A,2022-09-07 06:44:03,
