account_id,customer_id,branch_id,account_no,account_kind,balance,opened_date,status,created_at,updated_at
56,19,18,3506-878619,02,4345651.43,2020-09-10,A,2020-09-10 00:53:53,
57,95,8,6024-628469,02,4185554.52,2021-10-13,A,2021-10-13 14:01:28,
58,184,15,1223-112408,01,4700908.88,2022-02-24,A,2022-02-24 22:29:48,
59,169,11,4117-984264,01,4781573.92,2021-01-29,A,2021-01-29 16:54:27,
60,172,7,5230-985018,01,916100.97,2022-03-30,A,2022-03-30 15:49:29,
61,57,19,8115-627359,02,4335395.87,2023-02-11,A,2023-02-11 13:12:38,
62,174,18,5568-153456,01,1932670.1,2022-08-19,A,2022-08-19 05:56:53,
63,106,2,8764-786684,01,193424.35,2020-05-25,A,2020-05-25 20:30:31,
64,106,4,7567-908583,01,4555131.23,2023-03-26,A,2023-03-26 17:06:41,
65,51,14,7652-246424,02,3974906.39,2022-04-26,A,2022-04-26 19:47:03,
66,44,2,1063-848084,01,3117357.9,2020-06-21,A,2020-06-21 15:17:07,
67,22,11,9932-964876,01,1511482.68,2023-12-07,A,2023-12-07 05:44:53,
68,122,4,2388-114195,01,1974702.7,2021-05-17,A,2021-05-17 17:53:27,
69,170,20,4719-233474,01,4316123.04,2023-12-09,F,2023-12-09 04:03:28,
70,50,1,9826-310340,01,1706338.53,2021-08-28,A,2021-08-28 13:51:49,
71,133,12,5625-421664,01,1878683.26,2023-07-10,A,2023-07-10 08:56:20,
72,66,14,6676-627041,01,158686.47,2023-08-17,A,2023-08-17 18:46:42,
73,141,10,4154-380182,01,3302246.05,2021-11-04,A,2021-11-04 21:14:47,
74,169,12,5381-646685,01,2442786.07,2022-08-20,A,2022-08-20 19:15:37,
75,2,13,1967-712740,01,4472897.83,2020-03-13,A,2020-03-13 20:17:29,
76,107,8,9015-670422,01,578697.06,2020-08-14,A,2020-08-14 08:05:57,
77,47,11,6467-956672,01,2612082.01,2022-04-10,A,2022-04-10 03:33:10,
78,141,8,4979-296408,02,1672964.97,2022-09-27,A,2022-09-27 07:35:24,
79,143,1,4794-357846,01,3042976.75,2023-06-05,A,2023-06-05 19:07:40,
80,156,20,5288-964062,02,1040443.82,2023-06-21,A,2023-06-21 12:29:11,
81,136,16,6332-226519,02,1407818.9,2020-07-12,C,2020-07-12 03:16:06,
82,90,17,4326-767781,02,2316075.64,2022-05-27,A,2022-05-27 05:47:21,
83,46,1,5390-739480,02,215246.58,2022-09-08,C,2022-09-08 05:00:18,
84,112,14,9768-820475,01,4064631.44,2021-10-07,A,2021-10-07 05:04:29,
85,71,19,8157-258082,01,1904786.48,2022-06-24,A,2022-06-24 23:58:03,
86,136,11,4827-939192,01,2957332.0,2020-02-14,A,2020-02-14 01:41:59,
87,120,4,8269-169934,02,2375774.89,2023-08-23,C,2023-08-23 00:40:40,
88,83,15,7781-504248,02,4252135.11,2021-06-13,A,2021-06-13 11:42:19,
89,178,18,9677-550683,02,1026286.94,2021-07-07,A,2021-07-07 15:31:58,
90,175,11,6743-430839,01,4118000.45,2023-08-28,A,2023-08-28 04:56:53,
91,146,12,8331-420344,01,2675903.12,2023-09-26,A,2023-09-26 00:58:21,
92,14,12,8639-529449,02,4867100.48,2020-10-11,A,2020-10-11 21:27:51,
93,197,12,4741-823643,02,4052429.61,2020-02-28,A,2020-02-28 02:37:43,
94,28,8,3679-934528,02,665530.57,2020-01-23,A,2020-01-23 10:13:53,
95,178,1,4426-947095,01,1100330.41,2021-08-23,A,2021-08-23 19:56:34,
96,180,1,5430-733753,01,1680183.37,2021-12-22,A,2021-12-22 23:16:14,
97,24,16,1821-826958,02,690877.64,2021-11-19,A,2021-11-19 21:03:15,
98,11,11,5850-438059,02,1835135.64,2023-02-11,A,2023-02-11 02:17:45,
99,69,3,6985-699360,02,1400103.73,2021-01-27,A,2021-01-27 12:32:37,
100,1,13,1187-631617,02,4376369.92,2022-12-30,A,2022-12-30 07:38:05,
101,112,11,3909-204779,01,64228.92,2021-03-21,A,2021-03-21 22:49:29,
102,34,12,6711-295849,01,796762.68,2022-08-16,A,2022-08-16 21:27:45,
103,2,5,1567-498015,01,4023912.58,2023-06-18,A,2023-06-18 17:29:19,
104,103,12,4172-926695,01,4731539.59,2022-01-04,C,2022-01-04 11:29:47,
105,79,8,9084-711103,02,3720029.89,2022-11-01,A,2022-11-01 19:18:18,
106,18,11,9036-739520,02,3183000.2,2020-10-01,C,2020-10-01 19:44:01,
107,155,9,5088-460811,02,1311049.31,2023-07-28,A,2023-07-28 19:17:15,
108,155,20,7210-965603,02,671053.05,2022-09-29,A,2022-09-29 13:17:07,
109,141,1,3374-928544,01,4380761.57,2022-10-28,A,2022-10-28 20:26:27,
110,181,17,3398-977556,01,1183615.83,2023-09-15,C,2023-09-15 07:56:02,
111,16,3,3301-738746,01,1974507.37,2021-01-06,A,2021-01-06 20:59:05,
112,14,5,1466-565083,01,427441.09,2022-09-10,A,2022-09-10 03:38:42,
113,136,13,4523-915339,01,1399263.02,2021-05-17,A,2021-05-17 15:27:51,
114,174,14,9184-242225,02,796708.29,2023-05-25,A,2023-05-25 03:00:43,
115,93,7,5161-483491,02,3707345.24,2021-10-13,C,2021-10-13 10:30:17,
116,60,16,7956-833553,02,1264773.36,2020-09-05,A,2020-09-05 20:09:47,
117,118,4,1034-807322,01,3666463.38,2020-05-25,A,2020-05-25 15:19:36,
118,51,15,5295-299224,01,2583556.74,2021-06-01,A,2021-06-01 02:13:42,
119,83,1,1645-997812,01,807738.09,2020-02-27,A,2020-02-27 12:42:40,
120,152,16,6925-614571,01,1013359.49,2020-12-11,A,2020-12-11 21:30:10,
121,139,2,3423-661434,02,3399043.14,2022-12-29,A,2022-12-29 03:19:27,
122,198,12,3111-452094,01,2854356.03,2022-03-20,A,2022-03-20 19:54:08,
123,118,10,1591-483175,02,1449871.93,2023-06-01,A,2023-06-01 06:39:15,
124,159,19,5548-584584,02,3991238.34,2023-10-23,A,2023-10-23 08:39:59,
125,156,3,3151-956669,01,3418900.79,2022-03-22,C,2022-03-22 21:25:56,
126,191,1,9086-938712,01,4072811.78,2020-05-09,C,2020-05-09 03:04:11,
127,91,13,7405-568684,01,1142736.22,2021-05-03,F,2021-05-03 15:37:09,
128,120,20,7747-851285,02,4686842.21,2022-11-15,A,2022-11-15 13:58:07,
129,47,1,4099-631820,02,1553696.0,2023-06-02,A,2023-06-02 02:39:18,
130,32,5,2743-123319,02,3111070.02,2022-06-09,A,2022-06-09 14:03:26,
131,118,12,3516-512181,01,4751012.32,2021-09-04,A,2021-09-04 12:05:41,
132,166,5,7460-999531,02,3644905.73,2024-01-01,C,2024-01-01 22:08:20,
133,123,5,9480-233675,01,3152616.41,2023-08-04,A,2023-08-04 18:54:21,
134,104,18,3230-948402,02,747135.3,2021-11-14,A,2021-11-14 04:59:09,
135,100,8,2494-147972,01,3791580.68,2020-06-17,C,2020-06-17 08:47:08,
136,180,16,5433-314823,02,363027.41,2021-09-20,A,2021-09-20 13:49:29,
137,139,1,2851-551099,01,3910558.61,2022-08-24,A,2022-08-24 13:56:35,
138,149,14,5191-691709,02,4378345.05,2020-11-11,F,2020-11-11 22:39:32,
139,68,11,9758-573553,02,3032732.92,2020-11-11,A,2020-11-11 21:21:54,
140,121,1,7573-992518,02,601866.97,2021-12-28,C,2021-12-28 14:20:18,
141,123,19,4471-231459,01,1301063.19,2021-10-01,A,2021-10-01 21:31:45,
142,171,7,8713-427403,01,312621.34,2023-12-20,A,2023-12-20 10:55:09,
143,120,10,5157-557411,02,3928588.24,2021-02-28,A,2021-02-28 17:45:51,
144,120,12,8521-707484,01,4818877.37,2022-04-27,A,2022-04-27 19:28:49,
145,96,15,4810-708572,02,1314716.72,2022-03-14,A,2022-03-14 22:31:32,
146,126,3,3508-482901,01,4911393.03,2023-05-26,C,2023-05-26 23:12:56,
147,145,11,5878-342766,02,2627196.95,2021-07-14,A,2021-07-14 06:08:06,
148,39,15,1591-358795,01,2296725.47,2022-11-29,A,2022-11-29 15:00:22,
149,9,7,4675-195927,02,4531573.18,2020-11-28,A,2020-11-28 19:18:57,
150,200,2,8336-621030,02,4708073.55,2020-03-02,C,2020-03-02 13:21:23,
151,129,12,5193-979826,02,1640439.22,2021-09-13,C,2021-09-13 07:02:06,
152,81,5,9673-623069,01,2796091.28,2023-02-12,A,2023-02-12 12:10:45,
153,128,11,1406-579725,01,599267.82,2020-05-06,A,2020-05-06 13:19:39,
154,197,9,6803-457888,01,402121.33,2020-08-24,C,2020-08-24 22:26:26,
155,182,7,4037-830908,02,1076090.93,2022-08-28,A,2022-08-28 01:29:29,
156,118,7,3154-776040,01,1394116.21,2022-04-26,A,2022-04-26 02:56:57,
157,118,17,2950-931433,01,4491884.27,2020-04-14,F,2020-04-14 05:40:13,
158,82,3,2419-767876,01,4285028.03,2020-01-30,A,2020-01-30 02:32:37,
159,16,8,7681-458297,02,845833.0,2022-04-03,A,2022-04-03 06:45:19,
160,114,1,4290-339073,01,4034779.25,2020-03-14,A,2020-03-14 20:24:08,
161,135,6,9564-997970,01,4136780.54,2023-06-27,A,2023-06-27 17:22:59,
162,170,18,6505-380214,02,1868823.03,2020-03-06,C,2020-03-06 07:05:25,
163,55,7,3920-301948,02,2513631.66,2021-11-16,A,2021-11-16 07:22:05,
164,63,5,2824-136595,01,3925642.44,2020-01-23,A,2020-01-23 17:26:37,
165,49,13,3563-911355,01,1437829.27,2022-03-10,A,2022-03-10 09:20:43,
166,155,13,7435-345857,01,1405817.51,2022-04-14,A,2022-04-14 16:07:34,
167,120,11,9030-469784,01,29258.33,2021-04-25,A,2021-04-25 09:58:18,
168,179,17,8115-233176,02,3977806.71,2021-10-28,A,2021-10-28 19:50:39,
169,45,19,8574-223348,02,2111271.28,2020-12-11,A,2020-12-11 13:03:04,
170,32,18,7199-796565,02,632886.8,2023-02-19,A,2023-02-19 02:20:10,
171,169,4,4932-192661,01,3658912.28,2022-03-04,F,2022-03-04 12:23:15,
172,173,6,3558-775925,01,3618434.86,2022-05-13,A,2022-05-13 18:49:52,
173,117,4,2627-433432,02,782116.71,2021-09-12,A,2021-09-12 09:25:59,
174,59,11,6101-689162,01,710753.07,2020-02-08,A,2020-02-08 23:26:55,
175,108,15,2586-440876,01,1955974.93,2022-04-16,A,2022-04-16 15:43:07,
176,59,19,5480-997330,02,2913811.98,2022-11-17,C,2022-11-17 03:47:38,
177,56,20,6848-739881,01,2328418.69,2022-12-17,A,2022-12-17 21:56:52,
178,26,16,9858-905624,02,4853257.53,2021-07-25,A,2021-07-25 19:33:47,
179,141,11,9599-241876,02,3689329.04,2022-11-04,A,2022-11-04 00:49:32,
180,82,9,8020-310713,01,555986.83,2022-09-19,A,2022-09-19 08:51:57,
181,68,9,1716-188628,01,1540010.71,2022-05-15,A,2022-05-15 20:20:03,
182,4,7,1794-790409,01,4588252.3,2021-08-15,A,2021-08-15 00:24:37,
183,19,19,5277-374652,02,1083215.03,2022-06-06,A,2022-06-06 17:29:34,
184,2,10,8383-764127,01,3628433.04,2020-02-07,A,2020-02-07 23:35:19,
185,117,3,8457-448311,02,1098137.61,2023-11-12,A,2023-11-12 13:09:14,
186,78,8,1670-448628,02,2794033.63,2022-11-13,C,2022-11-13 18:27:31,
187,19,19,7450-496300,02,3021858.67,2022-01-08,C,2022-01-08 08:05:19,
188,2,1,8066-356193,02,4548671.67,2022-06-07,A,2022-06-07 09:36:57,
189,105,20,8580-475762,02,903485.78,2021-05-20,C,2021-05-20 00:09:26,
190,78,20,9326-953855,01,2197973.42,2022-11-12,A,2022-11-12 04:53:56,
191,51,6,8831-116138,01,1066138.66,2022-08-23,C,2022-08-23 23:08:06,
192,86,15,1387-896637,01,829999.69,2022-01-31,A,2022-01-31 14:35:40,
193,164,10,6549-283520,01,3587370.33,2021-09-05,A,2021-09-05 04:34:10,
194,109,2,9315-124552,01,2807217.05,2020-08-27,A,2020-08-27 13:15:06,
195,198,8,7389-999444,01,848696.69,2020-03-18,A,2020-03-18 14:03:07,
196,177,5,2182-203632,02,4410540.54,2022-12-20,A,2022-12-20 04:05:30,
197,199,7,8606-104179,02,1746251.15,2021-04-25,A,2021-04-25 17:20:30,
198,69,6,4247-725407,02,3330437.9,2021-05-28,A,2021-05-28 08:50:15,
199,173,2,5118-752923,01,2825063.62,2020-05-13,A,2020-05-13 04:18:56,
200,48,10,8484-656458,01,263534.93,2020-03-08,A,2020-03-08 19:53:54,
201,135,14,4313-890958,02,4641617.86,2020-06-10,A,2020-06-10 05:22:32,
202,75,6,6075-587700,01,3000945.35,2023-03-09,C,2023-03-09 10:34:11,
203,86,16,9857-950051,01,1862014.66,2022-02-20,A,2022-02-20 22:14:23,
204,179,18,1245-848801,02,272674.45,2021-11-30,C,2021-11-30 22:25:09,
205,194,14,1435-875318,01,2505043.78,2021-04-12,A,2021-04-12 03:24:02,
206,20,13,4964-296963,01,2928225.56,2022-07-08,A,2022-07-08 17:24:25,
207,83,4,9114-422363,01,1520086.25,2022-10-21,A,2022-10-21 18:55:46,
208,22,19,8188-225395,01,1876622.84,2021-05-17,A,2021-05-17 07:58:04,
209,200,5,9206-162681,01,2877718.18,2022-04-23,F,2022-04-23 04:08:05,
210,169,10,7269-884651,01,3171448.29,2020-10-07,A,2020-10-07 14:10:32,
211,120,14,2154-879710,02,4921358.69,2020-09-08,A,2020-09-08 13:04:07,
212,107,12,1765-722606,01,179460.19,2021-04-16,A,2021-04-16 16:14:26,
213,199,16,1960-381492,01,3127305.25,2022-11-09,A,2022-11-09 09:36:40,
214,182,14,9614-853179,01,4209178.74,2020-02-02,A,2020-02-02 19:34:29,
215,147,6,1172-564502,01,4178686.56,2022-05-28,A,2022-05-28 08:12:01,
216,85,16,3883-681508,02,835667.31,2022-11-26,A,2022-11-26 04:21:12,
217,107,9,9305-489525,02,2529765.2,2023-09-05,A,2023-09-05 21:57:00,
218,38,7,3868-363244,02,2978069.64,2021-07-13,A,2021-07-13 23:17:05,
219,111,17,9862-110631,02,4445508.61,2022-08-22,A,2022-08-22 16:18:31,
220,142,12,2278-509765,02,4225858.81,2021-11-07,A,2021-11-07 08:51:06,
221,78,5,1716-248053,02,223277.98,2023-12-03,A,2023-12-03 07:12:05,
222,133,7,1337-147436,01,2246883.7,2022-09-14,F,2022-09-14 14:16:11,
223,112,17,2011-590983,02,1266591.59,2023-11-22,A,2023-11-22 20:26:06,
224,164,13,5442-295398,02,1892410.42,2020-11-01,A,2020-11-01 17:39:43,
225,180,18,8194-229251,01,2270004.04,2022-09-18,C,2022-09-18 13:09:20,
226,34,9,3836-598658,02,1107110.38,2023-11-23,A,2023-11-23 19:27:19,
227,190,3,3725-503302,02,4236506.72,2020-04-20,C,2020-04-20 10:21:14,
228,69,12,2440-738492,01,441313.72,2020-04-15,A,2020-04-15 15:19:13,
229,155,4,4124-321164,02,3897568.77,2022-11-06,A,2022-11-06 12:07:31,
230,172,2,8327-603148,02,4034667.18,2020-05-24,A,2020-05-24 23:43:31,
231,131,10,3191-379036,01,1934098.55,2023-12-05,A,2023-12-05 14:41:10,
232,135,4,6967-343673,01,1777047.68,2022-03-08,A,2022-03-08 13:24:05,
233,6,9,8260-204821,01,1818778.05,2021-01-24,A,2021-01-24 14:23:39,
234,40,15,2144-132832,02,2371431.41,2020-05-02,A,2020-05-02 08:54:07,
235,163,16,6812-146958,01,1827332.98,2022-11-13,A,2022-11-13 18:29:09,
236,141,12,9208-203839,01,1215390.66,2020-01-04,A,2020-01-04 05:50:20,
237,164,19,9196-542518,02,575636.15,2023-04-04,A,2023-04-04 05:08:54,
238,23,18,4952-890914,01,1935212.6,2022-01-08,A,2022-01-08 22:49:35,
239,67,10,3974-455510,02,896777.14,2022-03-01,A,2022-03-01 20:59:26,
240,79,6,4951-561032,01,973709.67,2023-10-13,A,2023-10-13 23:29:11,
241,55,15,4652-343115,01,4778028.75,2023-07-07,A,2023-07-07 18:06:02,
242,168,16,4376-333977,02,2935508.63,2022-07-23,A,2022-07-23 14:57:57,
243,195,12,1196-372064,01,4293847.38,2022-02-19,A,2022-02-19 10:14:53,
244,33,20,5090-260181,01,3376127.16,2023-05-28,A,2023-05-28 22:08:18,
245,102,20,6782-603563,02,724769.58,2021-03-02,C,2021-03-02 07:35:15,
246,179,7,2560-715190,01,3737766.01,2020-08-25,A,2020-08-25 22:36:03,
247,56,8,5746-315638,01,752666.83,2022-02-11,A,2022-02-11 13:05:51,
248,100,15,8902-653639,01,31117.21,2023-03-30,C,2023-03-30 23:48:37,
249,148,20,4345-936054,02,4650195.54,2023-12-21,A,2023-12-21 23:25:03,
250,46,5,5365-257033,02,3783695.39,2022-06-18,A,2022-06-18 17:53:09,
251,68,14,9681-219447,02,720067.47,2022-11-10,C,2022-11-10 01:18:27,
252,74,3,3730-388433,02,4710384.06,2023-10-05,C,2023-10-05 22:01:44,
253,81,10,1590-401628,02,3787290.05,2020-05-24,A,2020-05-24 13:24:51,
254,2,6,2508-619177,01,264058.73,2021-02-12,A,2021-02-12 03:08:04,
255,34,19,7960-626883,01,1816122.16,2023-01-27,A,2023-01-27 02:17:20,
256,73,2,9678-384961,02,387468.13,2022-04-17,A,2022-04-17 00:11:37,
257,173,5,9660-250209,02,2530840.01,2023-10-06,A,2023-10-06 07:53:01,
258,196,3,1412-202297,02,2174622.2,2020-10-29,A,2020-10-29 10:32:58,
259,56,17,9349-681148,01,2341735.37,2023-04-20,A,2023-04-20 08:29:50,
260,61,13,3330-268822,02,3968325.42,2022-12-15,A,2022-12-15 06:23:53,
261,79,17,4912-707590,01,2628475.95,2023-03-01,A,2023-03-01 05:52:08,
262,8,6,8120-238574,01,2950234.72,2021-01-22,A,2021-01-22 19:16:59,
263,28,8,6434-587711,02,782136.06,2022-04-20,C,2022-04-20 23:05:21,
264,106,1,9840-374612,02,269863.7,2022-02-24,A,2022-02-24 20:28:14,
265,5,4,9685-986644,01,1167099.68,2021-04-16,A,2021-04-16 00:39:55,
266,101,7,5558-238555,01,1285906.12,2020-06-28,A,2020-06-28 12:22:57,
267,136,5,7973-750064,01,4190715.13,2020-06-29,F,2020-06-29 22:48:52,
268,9,14,1162-169953,02,2295859.36,2022-04-25,A,2022-04-25 05:07:42,
269,196,18,4450-811731,01,37560.38,2020-11-27,A,2020-11-27 04:58:50,
270,93,10,2691-440110,01,2526140.38,2020-01-21,A,2020-01-21 10:56:29,
271,174,15,2563-362824,02,1638412.94,2020-03-08,A,2020-03-08 12:56:55,
272,159,1,5436-436847,01,4407045.39,2020-07-23,C,2020-07-23 11:27:30,
273,50,6,8942-112176,01,2863819.57,2023-11-27,A,2023-11-27 14:14:44,
274,18,16,1036-823462,01,3034215.92,2021-03-03,A,2021-03-03 03:00:09,
275,198,10,4534-668586,02,1862466.86,2021-06-09,A,2021-06-09 22:37:29,
276,2,3,9389-664758,01,1614452.64,2022-08-14,A,2022-08-14 10:57:07,
277,176,14,2837-996295,02,4278870.52,2023-08-12,A,2023-08-12 12:04:05,
278,27,6,4337-747696,01,3627903.91,2020-10-17,A,2020-10-17 13:01:52,
279,47,6,5547-363811,02,983428.08,2022-01-04,A,2022-01-04 10:44:52,
280,85,11,7971-315019,01,4050864.81,2022-07-31,A,2022-07-31 18:06:20,
281,177,1,6306-487641,02,3141707.63,2020-11-06,A,2020-11-06 21:42:28,
282,53,3,7849-979001,01,4957364.83,2020-08-10,A,2020-08-10 21:31:25,
283,120,3,6660-653227,01,2014101.67,2021-02-13,A,2021-02-13 05:28:20,
284,111,18,5037-434951,01,4140220.14,2021-05-03,A,2021-05-03 11:31:54,
285,87,13,2955-192338,01,542072.97,2020-11-02,A,2020-11-02 14:22:16,
286,186,16,2391-728261,02,178260.99,2023-09-08,A,2023-09-08 14:04:37,
287,161,1,7687-515231,02,35467.62,2022-07-23,C,2022-07-23 03:22:20,
288,56,8,9520-161337,01,1760003.49,2021-06-02,A,2021-06-02 04:11:17,
289,82,19,9356-740355,01,4383583.71,2023-03-22,A,2023-03-22 04:46:14,
290,179,14,5763-860332,01,3264585.82,2020-12-18,C,2020-12-18 18:07:24,
291,145,18,3569-703416,01,697337.89,2020-12-04,C,2020-12-04 16:20:06,
292,119,1,2594-256435,02,1743662.9,2023-03-09,C,2023-03-09 20:55:27,
293,31,15,7070-715790,01,4140741.87,2023-04-24,A,2023-04-24 15:15:05,
294,109,20,1181-971101,01,2316923.04,2022-09-10,A,2022-09-10 18:14:21,
295,42,17,4569-356889,01,1395334.41,2021-03-24,A,2021-03-24 08:29:19,
296,194,12,5755-172750,02,4444078.04,2020-03-29,C,2020-03-29 18:24:47,
297,139,20,5360-519087,01,351307.83,2021-03-17,A,2021-03-17 03:14:33,
298,15,17,7369-673834,01,528118.73,2023-06-19,F,2023-06-19 19:12:17,
299,133,4,1966-187311,01,2123946.8,2021-02-04,A,2021-02-04 20:14:59,
300,15,19,7226-518918,02,2594521.43,2022-06-12,A,2022-06-12 19:01:44,
301,15,4,3545-362348,01,3991325.91,2022-11-25,A,2022-11-25 03:55:40,
302,82,10,2465-262467,01,524205.76,2023-08-03,A,2023-08-03 09:52:16,
303,196,19,4721-986894,02,4083155.96,2022-05-21,F,2022-05-21 16:32:50,
304,80,15,9848-313390,01,3860274.24,2022-12-24,A,2022-12-24 08:16:28,
305,163,2,4294-958622,01,3248468.61,2022-05-13,A,2022-05-13 03:04:22,
306,132,20,3164-781529,01,4602933.53,2023-07-21,A,2023-07-21 21:47:35,
307,2,14,1161-356517,01,2727290.2,2023-01-22,A,2023-01-22 01:37:42,
308,19,2,9264-375714,02,712756.52,2021-09-19,A,2021-09-19 18:11:28,
309,152,20,4027-846810,01,1222022.68,2023-12-09,A,2023-12-09 00:13:44,
310,6,18,2832-816411,02,2608050.9,2021-10-16,A,2021-10-16 00:45:29,
311,105,4,3498-674750,01,4976810.9,2023-12-20,A,2023-12-20 21:08:37,
312,159,7,9466-778993,02,2785485.08,2023-03-04,A,2023-03-04 04:54:36,
313,137,9,1115-116421,01,4487334.26,2020-05-22,A,2020-05-22 04:51:38,
314,97,16,9733-261714,01,2566199.96,2021-02-19,C,2021-02-19 20:08:58,
315,185,6,5719-898307,01,4457557.9,2023-01-29,A,2023-01-29 12:04:08,
316,78,13,3859-907595,02,3878598.44,2020-12-11,A,2020-12-11 18:55:08,
317,161,9,8003-345642,01,4907915.43,2021-05-29,C,2021-05-29 05:08:00,
318,110,9,9186-838781,02,2164805.33,2020-11-14,A,2020-11-14 16:38:21,
319,199,13,9735-181423,02,1733912.65,2022-03-10,C,2022-03-10 06:18:55,
320,17,17,6400-830479,01,4565063.81,2021-06-25,A,2021-06-25 13:27:02,
321,149,2,8802-540719,02,1354044.16,2023-10-23,F,2023-10-23 13:50:29,
322,35,17,5140-218832,02,870730.0,2020-09-25,A,2020-09-25 12:51:17,
323,43,5,7440-449145,02,3290348.62,2020-04-09,A,2020-04-09 13:22:42,
324,165,7,4078-718220,01,3453369.2,2021-04-05,A,2021-04-05 15:16:16,
325,39,12,4807-779332,01,1931335.21,2022-08-09,C,2022-08-09 13:27:22,
